Gol,Başarılı Top Sürme,Başarılı Top Sürme %,Toplam Şut,İsabetli Şut,Yaratılan Büyük Şans,İsabetli Pas,İsabetli Pas %,Kilit Pas,İsabetli Orta,İsabetli Uzun Top,Top Çalma,Pas Arası,Zeminde Kazanılan İkili Mücadele,Kazanılan Hava Topu Mücadelesi,Kazanılan Toplam İkili Mücadele %,Kendisine Yapılan Faul,player.name,player.slug,team.name,team.shortName
0.1,1.63,68.0,1.54,0.58,0.29,24.71,77.88,1.83,0.96,0.77,0.58,0.29,4.04,1.15,54.0,1.92,Serdar Gürler,serdar-gurler,,Başakşehir FK
0.1,1.11,48.94,1.25,0.29,0.24,28.11,75.19,1.2,0.62,2.26,1.35,1.54,3.56,0.82,46.91,1.15,Erdoğan Yeşilyurt,erdogan-yesilyurt,,Antalyaspor
0.1,0.58,63.16,1.87,0.58,0.19,46.82,79.72,1.58,1.34,9.03,1.15,0.53,2.26,0.67,57.01,0.53,Jonjo Shelvey,jonjo-shelvey,,Çaykur Rizespor
0.09,1.0,51.22,1.47,0.57,0.09,29.26,80.03,1.94,1.66,2.7,1.14,0.43,3.65,0.62,49.18,1.52,Deniz Türüç,deniz-turuc,,Başakşehir FK
0.09,1.93,47.73,1.29,0.74,0.37,14.8,77.4,2.11,1.29,0.55,1.56,0.37,4.96,0.28,51.82,1.47,Modou Barrow,modou-barrow,,Sivasspor
0.09,1.76,49.37,1.72,0.63,0.23,19.44,75.97,1.22,0.68,0.63,2.21,0.59,4.93,0.68,44.93,0.95,Halil Akbunar,halil-akbunar,,Pendikspor
0.09,1.03,57.14,1.2,0.34,0.0,25.59,76.61,1.03,0.0,1.63,1.72,0.69,3.52,0.94,45.61,0.86,Taylan Antalyalı,taylan-antalyali,,Yılport Samsunspor
0.08,0.13,42.86,1.7,0.59,0.04,28.58,76.74,0.42,0.04,2.04,1.53,1.74,2.97,2.21,64.21,1.44,Gökhan Gül,gokhan-gul,,Kasımpaşa
0.08,0.5,54.55,1.16,0.42,0.0,38.6,84.98,0.5,0.0,1.75,1.91,0.5,3.66,2.08,55.2,1.25,Leroy Fer,leroy-fer,,Alanyaspor
0.08,1.39,70.83,1.47,0.49,0.16,24.81,76.38,1.47,0.82,2.61,0.9,0.49,3.59,0.98,46.67,1.31,Olivier Kemen,olivier-kemen,,Başakşehir FK
0.08,0.0,0.0,1.31,0.41,0.0,29.46,78.14,0.65,0.33,1.8,1.8,1.39,4.41,1.8,53.9,2.69,Oğulcan Ülgün,ogulcan-ulgun,,Konyaspor
0.08,0.65,40.0,0.81,0.32,0.16,19.42,75.95,1.13,0.57,0.16,1.78,0.65,4.13,1.54,46.05,1.78,Iron Gomis,iron-gomis,,Kasımpaşa
0.07,1.19,55.17,1.64,0.52,0.45,18.79,74.56,1.64,1.04,0.75,1.64,0.37,4.55,0.82,42.6,1.71,Max Gradel,max-gradel,,Gaziantep FK
0.07,1.32,45.0,1.69,0.44,0.22,21.64,79.03,2.13,1.69,1.47,3.31,0.44,6.26,0.74,51.63,1.62,Gustavo Sauer,gustavo-sauer,,Çaykur Rizespor
0.07,0.43,66.67,1.15,0.14,0.0,37.43,81.99,0.43,0.0,3.25,2.24,1.8,3.1,1.08,45.31,0.58,Youssef Aït Bennasser,youssef-ait-bennasser,,Yılport Samsunspor
0.07,0.74,61.11,1.02,0.27,0.27,47.88,86.22,1.08,0.61,5.21,1.35,1.08,2.98,0.81,44.44,0.88,Görkem Sağlam,gorkem-saglam,,Hatayspor
0.07,0.13,40.0,0.6,0.27,0.0,54.17,87.46,0.8,0.0,3.01,1.0,0.67,1.41,4.02,65.85,0.33,Steven​ N'Zonzi,steven-nzonzi,,Konyaspor
0.07,1.32,66.67,0.99,0.2,0.2,35.92,80.06,1.12,0.39,3.09,2.37,0.72,5.0,0.99,51.41,1.32,Salih Uçan,salih-ucan,,Beşiktaş
0.06,0.91,58.33,0.58,0.19,0.0,30.17,75.16,0.65,0.06,3.76,1.75,0.97,3.95,0.97,53.52,1.29,Benjamin Stambouli,benjamin-stambouli,,Adana Demirspor
0.06,1.16,34.62,1.67,0.39,0.19,14.14,69.18,1.54,0.96,0.64,0.58,0.32,3.21,0.45,36.31,1.48,Valon Ethemi,valon-ethemi,,Konyaspor
0.06,0.12,50.0,0.31,0.19,0.0,36.24,84.2,0.44,0.0,1.68,2.0,1.37,2.68,1.25,40.91,0.56,Modestas Vorobjovas,modestas-vorobjovas,,İstanbulspor
0.06,0.62,58.82,0.99,0.49,0.06,20.84,68.01,0.92,0.06,1.48,2.84,1.29,5.3,0.86,46.95,1.85,Furkan Soyalp,furkan-soyalp,,Gaziantep FK
0.06,1.1,66.67,0.98,0.25,0.12,26.16,81.96,0.49,0.12,2.7,1.96,1.23,3.43,0.8,42.07,0.37,Ali Kaan Güneren,ali-kaan-guneren,,MKE Ankaragücü
0.06,0.18,60.0,0.77,0.12,0.0,26.45,79.89,0.29,0.06,1.47,1.35,1.53,2.41,1.77,58.68,0.94,Marko Jevtović,marko-jevtovic,,Gaziantep FK
0.06,0.76,68.42,0.58,0.17,0.06,44.04,84.77,0.64,0.06,4.19,2.56,1.51,4.77,1.51,57.45,1.51,Berat Ayberk Özdemir,berat-ayberk-ozdemir,,Trabzonspor
0.05,0.58,55.0,2.15,0.58,0.16,24.55,78.43,1.2,0.89,1.26,0.94,0.63,2.36,0.79,41.1,0.84,Alexandru Cicâldău,alexandru-cicaldau,,Konyaspor
0.05,0.67,56.52,1.65,0.41,0.15,38.0,82.79,0.77,0.15,2.27,2.69,0.62,4.96,1.29,58.74,1.6,Muammer Sarıkaya,muammer-sarikaya,,Çaykur Rizespor
0.05,1.19,44.23,2.27,0.62,0.67,23.64,79.65,2.43,1.7,0.98,1.19,0.41,3.56,1.29,44.13,1.24,Miguel Cardoso,miguel-cardoso,,Kayserispor
0.05,1.11,78.57,0.71,0.05,0.05,32.63,84.78,0.2,0.0,1.41,1.87,0.61,4.39,1.11,55.61,1.52,Batista Mendy,batista-mendy,,Trabzonspor
